,Sentence
297,"இந்த இரு இடங்களுக்கு கனடா , ஜெர்மனி , போர்ச்சுக்கல் ஆகிய 3 நாடுகள் போட்டியிடுகின்றன ."
298,ஆப்பிரிக்க நாடுகளில் தென்னாப்பிரிக்காவின் இடம் உறுதியாகி விட்டது .
299,"இதனால் மூன்று வளரும் பொருளாதார நாடுகள்ஆன இந்தியா , பிரேஸில் , தென்னாப்பிரிக்கா உள்ளிட்ட நாடுகள் இடம்பெற உள்ளன ."
300,"வரும் ஆண்டுகளில் பாதுகாப்புக் கவுன்சிலில் இந்தியா , சீனா , பிரேசில் , ரஷியா உள்ளிட்ட நாடுகள் மிக முக்கிய பங்காற்றும் என்று ஐக்கிய நாடுகள் சபைக்க்ஆன இந்திய பிரதிநிதி ஹர்தீப் சிங் பூரி தெரிவித்தார் ."
301,ஐக்கிய நாடுகள் சபையின் பாதுகாப்புக் கவுன்சிலில் இடம்பெறுவதற்கு உறுப்பு நாடுகளில் மூன்றில் இரண்டு பங்கு வாக்குகளைப் பெற வேண்டும் .
302,இதன்படி இந்தியாவுக்கு 128 நாடுகளின் ஆதரவு தேவை .
303,கடைசியாக 1992-ம் ஆண்டு பாதுகாப்புக் கவுன்சிலில் இந்தியா இடம்பெற்ற் இருந்தது .
304,"பாதுகாப்புக் கவுன்சிலில் நிரந்தரம் அல்லாத உறுப்பினர்ஆக உள்ள ஆஸ்திரியா , ஜப்பான் , மெக்ஸிகோ , துருக்கி , உகாண்டா ஆகியவற்றின் உறுப்பினர் காலம் நிறைவடைய உள்ளது ."
305,இதையொட்டி நடைபெறும் தேர்தலில் இந்தியா உள்ளிட்ட நாடுகள் போட்டியிடுகின்றன .
306,ஐக்கிய நாடுகள் பாதுகாப்புக் கவுன்சில் சீர்திருத்தம் கொண்டு வரப்படவேண்டும் என்று இந்தியா தொடர்ந்து வலியுறுத்தி வருகிறது .
307,"ஜெர்மனி வெற்றி பெற்றால் ஜி-4 நாடுகள் ( இந்தியா , பிரேஸில் , ஜப்பான் , ஜெர்மனி ) அனைத்தும் பாதுகாப்புக் கவுன்சிலில் இடம்பெற்று விட்டன என்ற பெருமை கிடைக்கும் ."
308,தேர்ந்தெடுக்கப்பட்ட நாடுகளின் பதவிக்காலம் அடுத்த ஆண்டு ஜனவரி 1-ம் தேதிய்இலிருந்து தொடங்கும் .
309,கடந்த செப்டம்பரில் நியூயார்க்கில் நடைபெற்ற ஜி-4 நாடுகளின் வெளியுறவு அமைச்சர்கள் மாநாட்டில் பாதுகாப்புக் கவுன்சிலில் சீர்திருத்தம் கொண்டு வருவதுகுறித்து விவாதிக்கப்பட்டது .
310,அப்போது சீர்திருத்தம் கொண்டு வருவதுகுறித்து விரைவாக முடிவெடுக்க வேண்டும் என்ற்உம் அப்போது கருத்து தெரிவிக்கப்பட்டது .
311,"ஐக்கிய நாடுகள் சபையில் உரையாற்றும் போது , நிரந்தர மற்றும் நிரந்தரம் அல்லாத உறுப்பினர்களின் எண்ணிக்கையை அதிகரிக்க வேண்டும் என்று மத்திய வெளியுறவு அமைச்சர் எஸ்.எம். கிருஷ்ணா வலியுறுத்தினார் ."
312,இது மிகவும் அவசியமாகும் .
313,அப்போதுதான் ஒருமித்த கருத்தை எட்டுவதற்கு வசதிய்ஆக இருக்கும் என்று அவர் மேலும் கூறினார் .
314,"அமெரிக்க அதிபர் பராக் ஒபாமா , இந்தியாவில் அடுத்த மாதம் சுற்றுப் பயணம் மேற்கொள்ளும் போது இந்த விவகாரம்குறித்து முக்கியமாக விவாதிக்க ப்படும் என்று தெரிகிறது ."
315,உலக உருக்கு சங்கத்தின் விருது ஆர்சிலார் மிட்டல் நிறுவனத் தலைவர் எல்.என். மிட்டலுக்கு வழங்கப்பட்ட்உள்ளது .
316,"டோக்கியோவைச் சேர்ந்த டெக்ஹின்ட் நிறுவனத் தலைவர்உம் உலக உருக்கு சங்கத்தின் துணைத் தலைவர்உம்ஆன பாலோ ரோகா , இந்த விருதை வழங்கினார் ."
317,இந்த சங்கத்தின் தலைவர்ஆக கடந்த ஓராண்ட்ஆக மிட்டல் இருந்தார் .
318,உருக்கு நிறுவன வளர்ச்சி மற்றும் இத்தொழிலில் மிட்டலின் பங்களிப்பைப் பாராட்டி இவ்விருது வழங்கப்பட்டது .
319,1992-ம் ஆண்டு இந்த விருது ஏற்படுத்தப்பட்டது .
320,இதுவரை 16 பேர் இவ்விருதைப் பெற்ற்உள்ளனர் .
321,பிரிட்டிஷ் ஸ்டீல் நிறுவனத்தின் தலைவர் சர் ராபர்ட் ஸ்கோலே முதன் முதலில் இவ்விருதைப் பெற்றார் .
322,தில்லி முதல்வர் ஷீலா தீட்சித்தை இன ரீதிய்ஆக விமர்சித்த நியூஸிலாந்து நாட்டின் டி.வி. வர்ணனையாளர் பால் ஹென்றி ஞாயிற்றுக்கிழமை வேலையை ராஜிநாமா செய்தார் .
323,"பால் ஹென்றி , கடந்த வாரம் ஒரு டி.வி. நிகழ்ச்சியில் தில்லி முதல்வர் ஷீலா தீட்சித்தின் பெயரை கேலியாக உச்சரித்தார் ."
324,"மேலும் , இந்தியர்களை அவமானப்படுத்தும் விதத்தில்உம் அவர் பேசினார் ."
325,பால் ஹென்றியின் இந்த செயலுக்கு இந்தியாவில் கடும் எதிர்ப்பு எழுந்தது .
326,நியூஸிலாந்து அரசிடம் இந்திய வெளியுறவு அமைச்சகம் எதிர்ப்பை வெளிப்படுத்தியது .
327,ஷீலா தீட்சித்தை கேலி செய்த டி.வி. வர்ணனையாளர் மீது உரிய நடவடிக்கை எடுக்க வேண்டும் என்ற்உம் கேட்டுக் கொண்டது .
328,"இதையடுத்து பால் ஹென்றியின் செயலுக்க்ஆக நியூஸிலாந்து அரசு , இந்திய அரசிடம் வருத்தம் தெரிவித்தது ."
329,பால் ஹென்றி மீது உரிய நடவடிக்கை எடுப்பத்ஆகவ்உம் உறுதி அளித்தது .
330,இந்நிலையில் பால் ஹென்றி தனது வேலையை ராஜிநாமா செய்த்உள்ளார் .
331,"இதுகுறித்து அவர் கூறுகையில் , எனது பேச்ச்உம் , கருத்த்உம் இந்தளவுக்கு சர்ச்சையை ஏற்படுத்தும் என்று நான் எதிர்பார்க்கவ்இல்லை ."
332,பிரச்னை பெரித்ஆகியதால் நான் பயந்து போனேன் .
333,எனது வார்த்தைகள் யாருடைய மனதைய்உம் புண்படுத்திய்இருந்தால் மன்னித்துக் கொள்ளும் ஆறு ஏற்கெனவே இரு தடவை கேட்டுக் கொண்ட்உள்ளேன் என்றார் .
334,அமெரிக்காவின் ஹூஸ்டனில் உள்ள பழமைவாய்ந்த ஸ்ரீ கிருஷ்ணர் ஆலயத்தில் இருந்து சில சிலைகள் திருடு போய் உள்ளன .
335,"இது , அமெரிக்காவில் வசிக்கும் ஆயிரக்கணக்க்ஆன இந்தியர்கள் மத்தியில் அதிர்ச்சியை ஏற்படுத்திய்உள்ளது ."
336,திருடிச் சென்ற சிலையை திருப்பி கொடுத்திடும் ஆறு அந்த கோயில் நிர்வாக செய்தித் தொடர்பாளர் சிராக் பட் வேண்டுகோள் விடுத்த்உள்ளார் .
337,சிலையை திருப்பி கொடுப்பவர்கள் மீது எவ்வித நடவடிக்கைய்உம் எடுக்கப் படாது .
338,ரூ. 2 லட்சம் சன்மானம் அளிக்க ப்படும் என்று அவர் கூறிய்உள்ளார் .
339,திருடப்பட்ட சிலைகள் அனைத்தும்ஏ பித்தளையால் செய்யப்பட்டது .
340,இது திருடர்களுக்கு தெரியவ்இல்லை .
341,சிலைகள் தங்கத்தால் செய்யப்பட்டது என நினைத்து அவர்கள் திருடிச் சென்ற்உள்ளனர் என்ற்உம் சிராக் பட் தெரிவித்தார் .
342,ஹூஸ்டனில் உள்ள ஸ்ரீ கிருஷ்ணர் ஆலயம் பழமை வாய்ந்தது .
343,இந்த ஆலயத்துக்கு ஹூஸ்டனில் வசிக்கும் மக்கள் மட்டுமல்லாது அமெரிக்கா முழுவதும் வசிக்கும் இந்திய மக்கள் வந்து வழிபாடு நடத்துகின்றனர் .
344,கர்நாடக பேரவையில் இன்று நடைபெற்ற நம்பிக்கை வாக்கெடுப்பில் முதல்வர் எடியூரப்பா அரசு வெற்றிபெற்றது .
345,"மொத்தம் உள்ள 206 வாக்குகளில் எடியூரப்பா அரசுக்கு ஆதரவ்ஆக 106 வாக்குகள்உம் , எதிராக 100 வாக்குகள்உம் பதிவாயின ."
346,திங்கட்கிழமையன்று நடைபெற்ற நம்பிக்கை வாக்கெடுப்பில் எதிர்க்கட்சிக்கு ஆதரவ்ஆக இருந்த சுயேச்சை எமெலே ஒருவர் இன்று அரசுக்கு ஆதரவ்ஆக வாக்களித்தார் .
347,நம்பிக்கை வாக்கெடுப்பைத் தொடர்ந்து அவை தேதி குறிப்பிடாமல் ஒத்திவைக்கப்பட்டது .
348,காமன்வெல்த் மகளிர் பேட்மின்டன் ஒற்றையர் போட்டியில் இந்தியாவின் சாய்னா நேவல் தங்கப் பதக்கம் வென்றார் .
349,இன்று நடந்த இறுதிப் போட்டியில் மலேசியாவின் வாங் தோல்வியடைந்தார் .
350,"முதல் செட்டை 19-21 என்ற புள்ளிக்கணக்கில் இழந்த சாய்னா , அடுத்த இரண்டு செட்களைய்உம் 22-20 , 21-13 என்ற புள்ளிக் கணக்கில் கைப்பற்றினார் ."
351,இறுதியில் 2-1 என்ற செட் கணக்கில் சாய்னா வென்று தங்கப் பதக்கத்தைக் கைப்பற்றினார் .
352,வாங் வெள்ளிப் பதக்கம் பெற்றார் .
353,சாய்னா பெற்றுத் தந்த தங்கப்பதக்கத்துடன் சேர்த்து இந்தியா பெற்ற தங்கப் பதக்கங்களின் எண்ணிக்கை 38-ஆக உயர்ந்த்இருக்கிறது .
354,இதன் மூலம் காமன்வெல்த் பதக்கப்பட்டியலில் இந்தியா இரண்டாவது இடத்துக்கு முன்னேறியது .
355,37 தங்கப் பதக்கங்களைப் பெற்ற இங்கிலாந்து மூன்றாவது இடத்தில் இருக்கிறது .
356,இலங்கை அதிபர் ராஜபட்ச இந்தியா வருவதற்கு எதிர்ப்புத் தெரிவித்து கோவையில் இன்று போராட்டம் நடத்திய மதிமுக பொதுச் செயலர் வைகோ உள்ளிட்ட நூற்றுக்க்உம் மேற்பட்டோர் கைது செய்யப் பட்டனர் .
357,தில்லியில் இன்று நடைபெறும் காமன்வெல்த் போட்டி இறுதிநாள் நிகழ்ச்சியில் சிறப்பு விருந்தினர் ஆகக் கலந்து கொள்வதற்க்ஆக இலங்கை அதிபர் ராஜபட்ச அழைக்க ப்பட்ட் இருக்கிறார் .
358,"அவரது வருகைக்கு எதிர்ப்புத் தெரிவித்து மதிமுக , விடுதலைச் சிறுத்தைகள் , இந்து மக்கள் கட்சி , பெரியார் திராவிடர் கழகம் போன்ற கட்சிகள் தமிழகத்தின் பல இடங்களில் போராட்டங்களை நடத்தி வருகின்றன ."
359,கோவை தமிழ்நாடு ஹோட்டல் அருகே மதிமுக பொதுச்செயலர் வைகோ தலைமையில் நடந்த ஆர்ப்பாட்டத்தில் ராஜபட்சவின் உருவப் பொம்மைகள் எரிக்கப் பட்டன .
360,"இதையடுத்து , போராட்டத்தில் ஈடுபட்ட வைகோ உள்ளிட்ட நூற்றுக்க்உம் மேற்பட்டோரை போலீஸார் கைது செய்தனர் ."
361,"இதேபோல் கோவை காந்திநகர் பகுதியில் பெரியார் திராவிடர் கழகம் மற்றும் விடுதலைச் சிறுத்தைகள் கட்சியைச் சேர்ந்தவர்கள் ராஜபட்சவின் உருவப்பொம்மை , உருவப் படம் , இலங்கை தேசியக்கொடி போன்றவற்றை எரித்தனர் ."
362,இதையடுத்து அவர்களை போலீஸார் கைது செய்தனர் .
363,நம்பிக்கை வாக்கெடுப்பு நடத்துவதற்க்ஆக கூட்டப்பட்ட பேரவைக் கூட்டத்தை உயர்நீதிமன்றத் தீர்ப்பு வரும் வரை ஒத்திவைக்க வேண்டும் என்கிற காங்கிரஸின் கோரிக்கையை கர்நாடக பேரவைத் தலைவர் நிராகரித்தார் .
364,தகுதிநீக்கம் செய்யப்பட்ட 16 எமெலேக்களின் மனு மீது உயர்நீதிமன்றம் தீர்ப்பளிக்கும் வரை பேரவைக் கூட்டத்தை ஒத்திவைக்க வேண்டும் என எதிர்க்கட்சித் தலைவர் சித்தராமையா கோரிக்கை விடுத்தார் .
365,எனினும் ஆளுநர் உத்தரவுப்படி பேரவை கூட்டப்பட்ட்உள்ளதால் அதை ஒத்திவைக்க முடியாது என பேரவைத் தலைவர் போபய்யா தெரிவித்தார் .
366,பின்னர் எடியூரப்பா அரசு மீது நம்பிக்கை வாக்கு கோரும் ஒருவரித் தீர்மானம் கொண்டுவரப்பட்டு குரல் வாக்கெடுப்புக்கு விடப்பட்டது .
367,பொங்கல் பண்டிகையைய்ஒட்டி சென்னைய்இலிருந்து தென் மாவடங்களுக்குச் செல்லும் ரயில்களுக்க்ஆன டிக்கெட்டுகள் சில நிமிடங்களில்ஏயே விற்றுத் தீர்ந்தன .
368,பொங்கல் பண்டிகை வரும் ஜனவரி 15-ம் தேதி கொண்டாடப் படுகிறது .
369,இதையொட்டி அரசு விடுமுறை நாள்கள் வருகின்றன .
370,இதனால் சென்னையில் வசிக்கும் தென்மாவட்டங்களைச் சேர்ந்தவர்கள் ஜனவரி 12-ம் தேதியன்றே சொந்த ஊர்களுக்குச் செல்வதற்க்ஆக ரயில்களில் முன்பதிவு செய்யக் காத்திருந்தனர் .
371,ஜனவரி 12-ம் தேதிக்க்ஆன 90 நாள்களுக்கு முந்தைய முதல்நாள் முன்பதிவு இன்று காலை 8 மணிக்கு தொடங்கியது .
372,"முன்பதிவு தொடங்கியத்உம் நெல்லை , பொதிகை , பாண்டியன் , முத்துநகர் , அனந்தபுரி போன்ற எக்ஸ்பிரஸ் ரயில்களின் இரண்டாம் வகுப்பு படுக்கை வசதிக்க்ஆன டிக்கெட்டுகள் சில நிமிடங்களில் விற்றுத் தீர்ந்தன ."
373,சில ரயில்களில் ஏசி வகுப்புக்களுக்க்ஆன டிக்கெட்டுகள் குறைந்த எண்ணிக்கையில் முன்பதிவு செய்யப்படாமல் இருந்தன .
374,பொது வேலைநிறுத்தம் செய்ய சில தீவிரவாத குழுக்கள் அழைப்பு விடுத்ததன் காரணமாக மணிப்பூர் மாநிலத்தில் இயல்பு வாழ்க்கை பெரிதும் பாதிக்கப்பட்டது .
375,1949 அக்டோபர் 15-ல் இந்தியாவ்உடன் மணிப்பூர் இணைக்கப் பட்டதற்கு எதிர்ப்பு தெரிவித்து புரட்சிகர மக்கள் முன்னணி உள்ளிட்ட சில தீவிரவாத குழுக்கள் இந்த பொது வேலைநிறுத்தத்துக்கு அழைப்பு விடுத்த் இருந்தன .
376,இதனால் மணிப்பூர் மாநிலத்தில் போக்குவரத்து பெரிதும் பாதிக்கப்பட்டது .
377,போக்குவரத்து வசதிகள் இல்லாததால் அரசு அலுவலகங்களில்உம் வருகை குறைவாகவே இருந்தத்ஆக அதிகார வட்டாரங்கள் தெரிவித்தன .
378,"மேலும் மலைப்பிரதேசம் மற்றும் பள்ளத்தாக்கு மாவட்டங்களில் கடைகள் , வர்த்தக நிறுவனங்கள் மூடப்பட்ட்இருந்தன ."
379,எனினும் பொது வேலைநிறுத்தத்தைய்ஒட்டி வன்முறைச் சம்பவங்கள் எதுவும் நிகழ்ந்தத்ஆக தகவல் இல்லை .
380,மணிப்பூர் இந்தியாவ்உடன் இணைக்கப் பட்டதற்கு எதிர்ப்பு தெரிவித்து கடந்த 20 ஆண்டுகள்ஆக அக்டோபர் 15-ம் தேதி பொது வேலைநிறுத்தத்துக்கு தீவிரவாத குழுக்கள் அழைப்பு விடுத்து வருகின்றன .
381,மனித நேயத்துடன் பணியாற்ற வேண்டும் என்று டாக்டர்கள் மற்றும் செவிலியர்களுக்கு முதல்வர் கருணாநிதி வேண்டுகோள் விடுத்தார் .
382,"சென்னையில் கஸ்தூரிபா காந்தி தாய் சேய் நல மருத்துவமனையின் 125-ம் ஆண்டு விழா - சேப்பாக்கம் சட்டப் பேரவை உறுப்பினர் தொகுதி மேம்பாட்டு நிதிய்இலிருந்து கட்டப்பட்ட கட்டடங்களின் திறப்பு விழா - இதய நோய் மற்றும் மகளிர் கருப்பை வாய் , மார்பகப் புற்றுநோய்த் தடுப்புத் திட்டங்களை வியாழக்கிழமை தொடங்கி வைத்து முதல்வர் கருணாநிதி பேசியத்ஆவது : ."
383,சேப்பாக்கம் சட்டப் பேரவை உறுப்பினர்ஆன எனது தொகுதி மேம்பாட்டு நிதிய்இலிருந்து கட்டடங்கள் கட்டப்பட்ட்உள்ளன .
384,என்னுடைய சொந்தப் பணத்த்இலிருந்து கட்டப்படுவது அல்ல .
385,இந்தத் தொகுதிக்க்ஆக ஒதுக்கப்பட்ட்இருக்கின்ற நிதிய்இலிருந்து கட்டப்பட்டு இருக்கிறது .
386,இந்தியாவில் முதன்முதலில் தொகுதி மேம்பாட்டு நிதியை பொதுப் பணிகளுக்கு பயன்படுத்திக் கொள்ளல்ஆம் என்கிற அனுமதியை மத்திய அரசு ஏற்கெனவே நாடாளுமன்ற உறுப்பினர்களுக்கு வழங்கி இருந்தது .
387,"அதைப் பார்த்து , சட்டப் பேரவை தொகுதி நிதியைய்உம் ஏன் நல்ல பணிகளுக்கு ஒதுக்கக் கூடாது என்ற கேள்வி என் முன்னால் எழுந்தது ."
388,"இதனால் , சட்டப் பேரவையில் அதை அறிவித்து , அதை சட்டப் பேரவை உறுப்பினர்கள்உம் ஏற்றுக் கொண்டு , அந்த வகையில் இன்றைக்கு சட்டப் பேரவை உறுப்பினர் தொகுதி மேம்பாட்டுக்கு ஒதுக்கப்பட்ட்உள்ள தொகையை இது போன்ற நல்ல காரியத்துக்க்ஆகச் செலவழித்து இருக்கிறோம் ."
389,"இந்தியாவில் மத்திய அரசினுடைய பணத்தை அவர்கள் நாடாளுமன்ற தொகுதிகளுக்க்ஆக ஒதுக்குகின்ற பணம் ஏற்கெனவே ஆங்காங்கே நாடாளுமன்ற தொகுதிகளுக்க்ஆகச் செலவழிக்கப் படுகிற நிலைய்இருந்தால்உம்கூட , சட்டப் பேரவைத் தொகுதிகளுக்கு ஒதுக்கப் படுகிற பணத்தை - அந்தத் தொகுதி மேம்பாட்டுக்காகச் செலவழிக்க வேண்டும் என்று முதல் குரல் கொடுத்தது தமிழகத்தில் தான் ."
390,தமிழ்நாடு அரசு தான் அதைச் செய்தது .
391,முதலில் அது 25 லட்சமாக ஒதுக்கப்பட்டது .
392,"பிறகு , கொஞ்சம் கொஞ்சமாக அந்தத் தொகை உயர்த்தப்பட்டு இப்போது ஒரு கோடியே 75 லட்சம் அளவுக்கு அதிகரிக்கப்பட்ட்உள்ளது ."
393,"அந்தத் தொகையைப் பயன்படுத்திக் கொண்டு , நம்முடைய சட்டப் பேரவை உறுப்பினர்கள் தொகுதிப் பணிகளை ஆற்றிக் கொண்ட் இருக்கிறார்கள் ."
394,மருத்துவமனைகளுக்கு கட்டடங்கள் கட்டினால் மாத்திரம் பலனில்லை .
395,அங்கே இத்தனை மருத்துவர்கள் என்று கணக்கு காட்டினால் மாத்திரம் பயனில்லை .
396,"அந்தக் கட்டடங்களில் ஏய்இருந்து பணியாற்றுகிற மருத்துவர்கள் , அந்த மருத்துவர்களுக்கு உதவியாக இருக்கிற செவிலியர்கள் உள்ளிட்ட மற்ற மருத்துவத்துறை நண்பர்கள் அனைவரும் ஏத்ஓ ஒரு கடமை ஆற்றுகிறோம் என்று இல்லாமல் இந்தப் பணி நம்மை வந்து அடைந்த்இருக்கிறது ."
397,அந்தப் பணியை மனித நேய மனப்பான்மையோடு நாம் நிறைவேற்றுவோம் என்ற அந்த உணர்வைப் பெற்று மக்களைக் காப்பாற்ற வேண்டும் - மக்களுக்குப் பணியாற்ற வேண்டும் .
398,அரசுக்கு ஒத்துழைப்பு வேண்டாம் : .
399,"அரசுக்கு ஒத்துழைக்க வேண்டும் என மருத்துவர்கள் , செவிலியர்கள் உள்ளிட்ட மருத்துவப் பணியாளர்கள் யாரையும் கேட்கவ்இல்லை ."
400,"சாதாரண , சாமானிய ஏழையெளிய மக்களுக்கு மனசாட்சிக்கு விரோதம் இல்லாமல் , அனைவரும் பாடுபட வேண்டும் ."
401,"அனைத்துத் துறைகளைய்உம்விட , மருத்துவத் துறை தான் மனிதாபிமானத்தோடு உடன்பாடு கொண்ட துறையாகும் ."
402,"ஆகவே , அனைவரும் மனிதாபிமானத்தோடு , மனித நேயத்தோடு மருத்துவத் துறைப் பணியை ஆற்ற வேண்டும் என்று கேட்டுக் கொள்கிறேன் என முதல்வர் கருணாநிதி பேசினார் ."
403,"இந்த நிகழ்ச்சியில் , மத்திய சென்னை மக்களவைத் தொகுதி எம்.பி.ய்உம் , மத்திய அமைச்சர்உம்ஆன தயாநிதி மாறன் , மாநில அமைச்சர்கள் உள்ளிட்ட பலர்உம் கலந்து கொண்டனர் ."
404,"தனக்கு உடல் நிலை இடம் தரா விட்டால்உம் , அரசு நிகழ்ச்சியில் பங்கேற்க வந்த்உள்ளத்ஆக முதல்வர் கருணாநிதி தெரிவித்தார் ."
405,சென்னையில் வியாழக்கிழமை நடைபெற்ற கஸ்தூரிபா காந்தி தாய்சேய் நல மருத்துவமனையின் 125-ம் ஆண்டு விழாவில் பேசும் போது அவர் இதைக் கூறினார் .
406,அவர் பேசியத்ஆவது : .
407,"மருத்துவமனைக்கு வருகை தந்தத்உம் , அதற்கேற்ப உடல்நிலைய்உம் சரியில்லை ."
408,"உடல் நிலை சரியில்லாத காரணத்தால் , மருத்துவமனை விழாவுக்கு வரவ்இல்லை ."
409,பிறருடைய உடல்நிலை சரியாக இருக்க வேண்டுமென்ற காரணத்துக்க்ஆக அமைக்கப்பட்ட்இருக்கிற மருத்துவமனையின் திறப்பு விழா என்பதால் கலந்து கொண்ட்உள்ளேன் .
410,"மேலும் , இந்தத் தொகுதியின் ( சேப்பாக்கம் ) சட்டப் பேரவை உறுப்பினர் என்ற முறையில் நிகழ்ச்சியில் கலந்து கொள்வது எனது கடமை ."
411,"சட்டப் பேரவை உறுப்பினர் என்ற முறையில் முதல்வர் என்கிற நிலையில் அந்தக் கடமையை நிறைவேற்ற உடல்நிலை இடம் தரா விட்டால்உம் , இங்கே வந்த் இருக்கிறேன் என்று முதல்வர் கருணாநிதி தெரிவித்தார் ."
412,விஜயதசமியை முன்னிட்டு தமிழக மக்களுக்கு அதிமுக பொதுச்செயலர் ஜெயலலிதா வாழ்த்து தெரிவித்த்உள்ளார் .
413,"நவராத்திரி விழாவ்உம் , அதற்கு சிகரம் வைத்தாற் போல விஜயதசமி விழாவ்உம் தமிழ்நாடு முழுவதும் கோலாகலம் ஆகக் கொண்டாடப் படுகிறது ."
414,நவம் என்றால் ஒன்பது .
415,"நவராத்திரி நாட்களில் முதல் மூன்று நாட்கள் வெற்றி வேண்டி துர்கா தேவியைய்உம் , அடுத்த மூன்று நாட்கள் செல்வம் வேண்டி மகாலட்சுமியைய்உம் , கடைசி மூன்று நாட்கள் கல்வி வேண்டி சரஸ்வதி தேவியைய்உம் மக்கள் வழிபடுகிறார்கள் ."
416,மகிஷாசுரனை தேவியானவள் ஒன்பது நாட்கள் போரிட்டு வெற்றி வாகை சூடிய நாள்ஏ விஜயதசமி .
417,"கைவினை கலைஞர்களுக்கு பெருமை சேர்க்கும் விதம்ஆகஉம் , உழைப்பிற்க்உம் , தொழிலுக்க்உம் மதிப்பளிக்கும் விதம்ஆகஉம் இந்த நாட்கள் அமைந்து இருக்கின்றன ."
418,வெற்றித் திருநாளாம் விஜயதசமி அன்று தொடங்கும் அனைத்து நற்காரியங்கள்உம் வெற்றியில் முடிவடையும் என்பது அனைவரது நம்பிக்கை .
419,"இந்த நன்னாளில் , அனைவரும் எல்லா நலன்களைய்உம் , வளங்களைய்உம் பெற்று அமைதிய் உடன் வாழ்வதற்கு ஏற்ற வகையில் தமிழகத்தில் விரைவில் நல்லாட்சி மலர மக்கள் உறுதி எடுத்துக் கொள்ள வேண்டும் என்று தெரிவித்து , தமிழக மக்கள் அனைவருக்கும் மனமார்ந்த விஜயதசமி நல்வாழ்த்துகளை தெரிவித்துக் கொள்வத்ஆக ஜெயலலிதா தனது அறிக்கையில் குறிப்பிட்ட்உள்ளார் ."
420,தி.மு.க. அரசின் தொழிலாளர் விரோத நடவடிக்கைகளைக் கண்டித்து இடதுசாரிக் கட்சிகள் சார்பில் சென்னையில் அக்டோபர் 21-ம் தேதி ஆர்ப்பாட்டம் நடைபெறும் என அக்கட்சிகள் வெளியிட்ட்உள்ள கூட்டறிக்கையில் தெரிவிக்கப்பட்ட்உள்ளது .
421,இந்திய கம்யூனிஸ்ட் மற்றும் மார்க்சிஸ்ட் கட்சியின் மாநில நிர்வாகிகள் கூட்டம் சென்னையில் வியாழக்கிழமை நடைபெற்றது .
422,"இக்கூட்டத்தில் மார்க்சிஸ்ட் கட்சி மத்தியக் குழு உறுப்பினர் என். வரதராஜன் , மாநில செயற்குழு உறுப்பினர்கள் கே. பாலகிருஷ்ணன் , ப. செல்வசிங் , இந்திய கம்யூனிஸட் கட்சி தேசிய கட்டுப்பாட்டுக் குழுத் தலைவர் ஆர். நல்லகண்ணு , மாநில துணைச் செயலாளர் சி. மகேந்திரன் , மாநில செயற்குழு உறுப்பினர்கள் ஏ.எம். கோபு , எஸ்.எஸ். தியாகராஜன் , கே. சுப்பராயன் ஆகியோர் கலந்து கொண்டனர் ."
423,"என்.எல்.சி. நிறுவன ஒப்பந்தத் தொழிலாளர்கள்உம் , ஸ்ரீபெரும்புதூர் ஃபாக்ஸ்கான் நிறுவன தொழிலாளர்கள்உம் தங்கள் கோரிக்கைகளுக்க்ஆக வேலைநிறுத்தத்தில் ஈடுபட்ட்உள்ளனர் ."
424,"தொழிலாளர்கள்உடன் பேச்சுவார்த்தை நடத்தி , சுமூக தீர்வு காணப்படவ்இல்லை ."
425,"இப்பிரச்னையில் தி.மு.க. சார்பிலான தொ.மு.ச. தொழிற்சங்கத்த்உடன் சேர்ந்து , ஆலை நிர்வாகங்கள் தொழிலாளர்ளுக்கு எதிராக செயல்படுகின்றன ."
426,பிரச்னைக்கு தீர்வு காண தி.மு.க. அரசு எந்த நடவடிக்கைய்உம் எடுக்கவ்இல்லை .
427,பன்னாட்டு தொழில் நிறுவனங்களில் தொழிற்சங்க உரிமைகள் மறுக்கப் படுகின்றன .
428,தொழிலாளர்கள் பழிவாங்கப் படுகின்றனர் .
429,இதற்கு தமிழக அரச்உம் உடந்தைய்ஆக உள்ளது .
430,"மேலும் , டாஸ்மாக் பணியாளர்கள் , சத்துணவு ஊழியர்கள் போராடியபோது அவர்களை ஒடுக்க தமிழக அரசு காவல் துறையை ஏவியது ."
431,"எனவே , தமிழக அரசின் இத்தகைய நடவடிக்கைகளைக் கண்டித்து சென்னையில் அக்டோபர் 21-ம் தேதி இரு கம்யூனிஸ்ட் கட்சிகள் சார்பில் ஆர்ப்பாட்டம் நடைபெறும் ."
432,"இந்திய கம்யூனிஸ்ட் மாநிலச் செயலாளர் தா. பாண்டியன் , மார்க்சிஸ்ட் கட்சி மாநிலச் செயலாளர் ஜி. ராமகிருஷ்ணன் ஆகியோர் தலைமையில் இந்த ஆர்ப்பாட்டம் நடைபெறும் என்று அந்த அறிக்கையில் தெரிவிக்கப்பட்ட்உள்ளது ."
433,அமெரிக்க அதிபர் ஒபாமாவின் இந்தியப் பயணம் மிகுந்த எதிர்பார்ப்பை ஏற்படுத்திய்உள்ளது .
